county,precinct,office,district,party,candidate,votes
Johnson,Park 1-22,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,18
Johnson,Park 2-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,297
Johnson,Park 2-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,35
Johnson,Park 2-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,374
Johnson,Park 2-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,24
Johnson,Park 2-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,309
Johnson,Park 2-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,28
Johnson,Park 2-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,363
Johnson,Park 2-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,38
Johnson,Park 2-05,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,402
Johnson,Park 2-05,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,37
Johnson,Park 2-06,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,338
Johnson,Park 2-06,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,25
Johnson,Park 2-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,270
Johnson,Park 2-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,26
Johnson,Park 2-08,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,280
Johnson,Park 2-08,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,30
Johnson,Park 2-09,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,282
Johnson,Park 2-09,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,38
Johnson,Park 2-10,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,199
Johnson,Park 2-10,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,29
Johnson,Park 2-11,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,316
Johnson,Park 2-11,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,36
Johnson,Park 2-12,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,269
Johnson,Park 2-12,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,38
Johnson,Park 2-13,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,247
Johnson,Park 2-13,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,30
Johnson,Park 2-14,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,278
Johnson,Park 2-14,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,25
Johnson,Park 2-15,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,433
Johnson,Park 2-15,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,34
Johnson,Park 2-16,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,249
Johnson,Park 2-16,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,14
Johnson,Park 2-17,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,331
Johnson,Park 2-17,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,43
Johnson,Park 2-18,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,449
Johnson,Park 2-18,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,54
Johnson,Park 2-19,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,284
Johnson,Park 2-19,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,28
Johnson,Park 2-20,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,230
Johnson,Park 2-20,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,33
Johnson,Park 2-21,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,304
